Dron#,Best Postion Global,Best Error Global,Iterations,Iteration,Size,Total Percentage Explore,Individual Error,Individual Position,Elapsed Time(s)
1,"[38, 22]",9376.753858449978,500,500,100,9,17680.753858449978,"[2, 7]",69
2,"[38, 22]",9376.753858449978,500,500,100,9,15749.753858449978,"[16, 4]",69
3,"[38, 22]",9376.753858449978,500,500,100,9,12500.753858449978,"[22, 16]",69
4,"[38, 22]",9376.753858449978,500,500,100,9,18818.753858449978,"[1, 1]",69
5,"[38, 22]",9376.753858449978,500,500,100,9,13124.753858449978,"[16, 18]",69
6,"[38, 22]",9376.753858449978,500,500,100,9,15874.753858449978,"[5, 13]",69
7,"[38, 22]",9376.753858449978,500,500,100,9,15520.753858449978,"[6, 14]",69
8,"[38, 22]",9376.753858449978,500,500,100,9,12490.753858449978,"[17, 21]",69
9,"[38, 22]",9376.753858449978,500,500,100,9,16745.753858449978,"[6, 7]",69
10,"[38, 22]",9376.753858449978,500,500,100,9,18432.753858449978,"[2, 2]",69
11,"[38, 22]",9376.753858449978,500,500,100,9,14992.753858449978,"[22, 2]",69
12,"[38, 22]",9376.753858449978,500,500,100,9,15749.753858449978,"[16, 3]",69
13,"[38, 22]",9376.753858449978,500,500,100,9,16232.753858449978,"[3, 11]",69
14,"[38, 22]",9376.753858449978,500,500,100,9,11306.753858449978,"[43, 7]",69
15,"[38, 22]",9376.753858449978,500,500,100,9,16393.753858449978,"[10, 4]",69
16,"[38, 22]",9376.753858449978,500,500,100,9,13978.753858449978,"[25, 6]",69
17,"[38, 22]",9376.753858449978,500,500,100,9,16580.753858449978,"[11, 4]",69
18,"[38, 22]",9376.753858449978,500,500,100,9,17125.753858449978,"[8, 3]",69
19,"[38, 22]",9376.753858449978,500,500,100,9,13345.753858449978,"[22, 11]",69
20,"[38, 22]",9376.753858449978,500,500,100,9,18245.753858449978,"[1, 5]",69
21,"[38, 22]",9376.753858449978,500,500,100,9,11461.753858449978,"[17, 27]",69
22,"[38, 22]",9376.753858449978,500,500,100,9,14864.753858449978,"[18, 6]",69
23,"[38, 22]",9376.753858449978,500,500,100,9,16298.753858449978,"[15, 1]",69
24,"[38, 22]",9376.753858449978,500,500,100,9,9697.753858449978,"[41, 17]",69
25,"[38, 22]",9376.753858449978,500,500,100,9,16025.753858449978,"[7, 10]",69
26,"[38, 22]",9376.753858449978,500,500,100,9,17300.753858449978,"[4, 6]",69
27,"[38, 22]",9376.753858449978,500,500,100,9,15185.753858449978,"[22, 1]",69
28,"[38, 22]",9376.753858449978,500,500,100,9,13957.753858449978,"[16, 12]",69
29,"[38, 22]",9376.753858449978,500,500,100,9,14548.753858449978,"[20, 6]",69
30,"[38, 22]",9376.753858449978,500,500,100,9,18245.753858449978,"[4, 2]",69
